movieId,(no genres listed),Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,year
1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.01107
2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.01107
3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.01107
4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.01107
5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01107
6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.01107
7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.01107
8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01107
9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01107
10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.01107
11,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.01107
12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.01107
13,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01107
14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.01107
15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.01107
16,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.01107
17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.01107
18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01107
19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01107
20,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.01107
21,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.01107
22,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,-0.01107
23,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.01107
24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.01107
25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.01107
26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.01107
27,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.01107
28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.01107
29,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,-0.01107
30,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.01107
31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.01107
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,-0.01107
33,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-0.01107
34,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.01107
35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.01107
36,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.01107
37,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.01107
38,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01107
39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.01107
40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.01107
41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.01107
42,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.01107
43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.01107
44,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.01107
45,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.01107
46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.01107
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-0.01107
48,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,-0.01107
49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.01107
50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,-0.01107
51,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.04953
52,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.01107
53,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.04953
54,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01107
55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.01107
56,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.01107
57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.01107
58,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.04953
59,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.01107
60,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.01107
61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0274
62,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.01107
